name,price,brand,thumbnail
"Điện thoại Samsung Galaxy A06 5G (4/128GB), Màn Hình Cực Đại HD+ 6.7”, 5G Kết nối cực nhanh - Hàng chính hãng",2390000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/3c/e7/ec/70f5cce5f61c20938c38137bbc597663.jpg
"Điện Thoại Samsung Galaxy A17 5G, Camera 50MP & IOS, Kính Cường Lực Gorilla Victus, AI Gemini - Hàng Chính Hãng",4090000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/e1/15/fc/e25ade3b1844bf9e1047ad291d12057e.jpg
"Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ - Hàng chính hãng",5290000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/e3/9d/b3/7a965246188ce9d42ea6041b66f707da.jpg
"Điện Thoại Samsung Galaxy A17 LTE (8/128GB), Kính Cường Lực Gorilla Victus, Camera 50MP & IOS, AI Gemini - Hàng Chính Hãng",4190000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/9d/6d/b7/ac0cf6627957a9807103864b3cc18e7e.jpg
"Điện Thoại Samsung Galaxy S25 FE (8/128GB), Concert Camera 50MP, Pin bền bỉ, Trợ thủ AI thông minh - Hàng chính hãng",11990000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/85/b0/07/e6d96d0f53a49f6cdb965d6c0e2fe10d.PNG
Điện Thoại Samsung Galaxy A57 5G ( 8GB/128GB) - Hàng Chính Hãng,10990000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/f3/b3/35/708c25ae74a58326bbef1692a328c9ed.jpg
Điện Thoại Samsung Galaxy A37 5G (8GB/128GB) - Hàng Chính Hãng,9490000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/6a/63/e2/b5cacfcd9cd46b01acf952837fcb09b8.jpg
Điện Thoại Xiaomi Redmi Note 15 Pro 5G 12GB/256GB - Hàng Chính Hãng,8899000,Xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/24/d7/c6/85c64b1eb19e66136bb6cdce8060bf43.jpg
Điện Thoại Xiaomi Redmi 15 5G 8GB/256GB - Hàng Chính Hãng,5389000,Xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/3a/42/5d/4e81d7e37790b8191e4ced236f116576.jpg
Apple iPad Air M4 11-Inch Wi-Fi,15990000,Apple,https://salt.tikicdn.com/cache/280x280/ts/product/84/51/3e/be4a7a52dbf14205c8d49cfe09b453e2.png
Củ Sạc Samsung Không Kèm Cáp 25W - Hàng Chính Hãng,180000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/28/e4/7f/d1f6c5467529914727d0d213b507a0c6.png
Điện Thoại Samsung Galaxy S26 Ultra (12GB/256GB) - Hàng Chính Hãng,32990000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/43/51/c7/591084ec0b8bbac62ec5458dadf251f8.jpg
Tai nghe nhét tai Samsung EO-IC100 Type C - Hàng Chính Hãng,190000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/9e/3b/d8/8c2e1e89a22b272d886eac69b94c9af3.png
Điện Thoại Samsung Galaxy S26 (12GB/256GB) - Hàng Chính Hãng,21990000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/8e/49/54/7cb00769381d688d3540d20c85688c7d.jpg
Điện Thoại Samsung Galaxy A57 5G ( 8GB/128GB) - Hàng Chính Hãng,10990000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/c9/23/3d/7f8d893499b53b1cb8a3fb6d00302c04.jpg
Apple iPhone 17e,16990000,Apple,https://salt.tikicdn.com/cache/280x280/ts/product/fb/16/51/9a75ea240dd4dc37a30fef4e877cdac0.jpg
Máy Tính Bảng Galaxy Tab S10 Lite Wifi (8GB/256GB) - Hàng Chính Hãng,8490000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/5a/47/05/c50b36f92af5aec61f44d6fa95e8d2f5.png
Điện Thoại Samsung Galaxy S26 Ultra (12GB/256GB) - Hàng Chính Hãng,32990000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/43/51/c7/cb1cb2583bc8c5d5ea0c9ed4a1f0394f.jpg
Điện Thoại Samsung Galaxy S26+ (12GB/256GB) - Hàng Chính Hãng,26990000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/bb/2f/9b/c5ce38bd3b323671c47cc938464b0169.jpg
Điện Thoại Samsung Galaxy S26 (12GB/256GB) - Hàng Chính Hãng,21990000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/8e/49/54/08c6ab66027620ef231fe7142c578536.jpg
Điện Thoại Samsung Galaxy A07 5G - Hàng Chính Hãng,3390000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/71/34/e7/1efcd5d7e1fe88396fd9f3e76eacc6d2.jpg
Điện Thoại Samsung Galaxy A36 5G - Hàng Chính Hãng,6590000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/da/3f/f7/18ab2efe229cd77a0502e55afce05f19.jpg
Máy Tính Bảng Galaxy Tab S10 Lite Wifi (8GB/256GB) - Hàng Chính Hãng,8490000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/d9/f9/8f/a3627d1b345bb755d693e32e22320547.png
Điện Thoại Samsung Galaxy S26+ (12GB/256GB) - Hàng Chính Hãng,26990000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/bb/2f/9b/c5ce38bd3b323671c47cc938464b0169.jpg
Điện Thoại Samsung Galaxy A16 5G (4GB/128GB) -  Đã Kích Hoạt Bảo Hành Điện Tử -  Hàng Chính Hãng,4990000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/1f/eb/e3/70ea444c1d20fd520feeb2950e11d95c.png
Điện Thoại Samsung Galaxy A07 5G - Hàng Chính Hãng,3390000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/71/34/e7/1efcd5d7e1fe88396fd9f3e76eacc6d2.jpg
 Điện thoại Oppo A5x (4GB/128GB) - Hàng chính hãng,3850000,OPPO,https://salt.tikicdn.com/cache/280x280/ts/product/97/33/44/0d6a9c27f2add6caffcb443aaa302311.jpg
Điện thoại Oppo A5x (4GB/64GB) - Hàng chính hãng,3250000,OPPO,https://salt.tikicdn.com/cache/280x280/ts/product/b2/a8/95/3bcdca758e0907907dbf580197465071.jpg
Điện Thoại Xiaomi Redmi Note 15 5G 6GB/128GB - Hàng Chính Hãng,6159000,Xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/51/ef/0c/3564b30bfcdf7c986c029219fc4cae0d.jpg
Điện Thoại Xiaomi POCO C85 6GB/128GB - Hàng Chính Hãng,3389000,Xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/78/d0/26/95ea185e91bbddd9f59ba6c87dd119ab.jpg
Điện thoại Honor X6c - Hàng Chính Hãng,3490000,Honor,https://salt.tikicdn.com/cache/280x280/ts/product/3b/3b/5d/8837ad400769ad8a9550df61533fde45.jpeg
Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB - Hàng Chính Hãng,5490000,Xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/8c/c8/00/074991819d83d81791fcabe29231ddce.jpg
Điện thoại Xiaomi Redmi Note 14 5G 8GB/256GB - Hàng Chính Hãng,5250000,Xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/46/08/2e/5be5c932899edaf2c63119f08ad82fc5.png
"Điện Thoại Samsung Galaxy A17 5G, Camera 50MP & IOS, Kính Cường Lực Gorilla Victus, AI Gemini - Hàng Chính Hãng",4090000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/e1/15/fc/e25ade3b1844bf9e1047ad291d12057e.jpg
Điện thoại Xiaomi Redmi 15 8GB/128GB - Hàng Chính Hãng,5190000,Xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/12/62/ba/25a7647e0af9ffb4e529923751763b25.jpg
Apple iPhone Air - Xanh Da Trời - 256GB,23750000,Apple,https://salt.tikicdn.com/cache/280x280/ts/product/ef/67/33/79cbb046ea3942e6e9046f172a08573e.jpg
Apple iPhone 17 - Xanh lam khói - 256GB,24250000,Apple,https://salt.tikicdn.com/cache/280x280/ts/product/1a/c8/62/aa4e6535955731e843c1c00d2c7dbdd0.jpg
Apple iPhone 17 Pro Max,37290000,Apple,https://salt.tikicdn.com/cache/280x280/ts/product/cb/a9/4c/48456b4f0f67bcb75829ed6243b4441f.jpg
Apple iPhone 17 Pro,33990000,Apple,https://salt.tikicdn.com/cache/280x280/ts/product/b5/c9/72/bba1712b77ad93643395eaf0a0470adc.jpg
"Điện Thoại Samsung Galaxy S25 FE (8/128GB), Concert Camera 50MP, Pin bền bỉ, Trợ thủ AI thông minh - Hàng chính hãng",11990000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/9b/3c/0c/550bab23f8338325fd8f80b7a99cf77a.PNG
"Điện Thoại Samsung Galaxy A17 LTE (8/128GB), Kính Cường Lực Gorilla Victus, Camera 50MP & IOS, AI Gemini - Hàng Chính Hãng",4190000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/9d/6d/b7/ac0cf6627957a9807103864b3cc18e7e.jpg
"Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ - Hàng chính hãng",5290000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/01/d1/7e/f80588242bfff6b3b8ea0403bec886c6.jpg
Máy tính bảng iPad Gen 11 (A16) WiFi,9290000,Apple,https://salt.tikicdn.com/cache/280x280/ts/product/32/b8/2c/128f7fd04a851c66e26be782fdb7b64e.jpg
Củ Sạc Samsung Không Kèm Cáp 25W - Hàng Chính Hãng,180000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/28/e4/7f/d1f6c5467529914727d0d213b507a0c6.png
"Điện thoại Samsung Galaxy A06 5G (4/128GB), Màn Hình Cực Đại HD+ 6.7”, 5G Kết nối cực nhanh - Hàng chính hãng",2390000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/3c/e7/ec/70f5cce5f61c20938c38137bbc597663.jpg
Điện Thoại Samsung Galaxy A36 5G - Hàng Chính Hãng,6590000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/d3/8e/4b/45b8f590abab4a7178d43c281de95e2d.jpg
Điện Thoại Samsung Galaxy A16 4GB/128GB - Hàng Chính Hãng,3699000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/86/42/e4/584b955d2613c7ce140532df0ef8f1e8.jpg
"Máy đọc sách Amazon Kindle Paperwhite 6 (Gen 12th), Mới nguyên Seal - Hàng chính hãng",4890000,Kindle,https://salt.tikicdn.com/cache/280x280/ts/product/59/e7/74/68080c04130bb376a971ea54196b6f60.jpg
Apple iPhone 16,19490000,Apple,https://salt.tikicdn.com/cache/280x280/ts/product/47/f5/68/47425f62a31015703ff60128baf676e1.jpg
Combo Máy đọc sách All New Kindle Paperwhite 6 - Hàng chính hãng,4790000,Kindle,https://salt.tikicdn.com/cache/280x280/ts/product/cb/c4/eb/e9e5f4686f3fee8181c35226a297e016.jpg
Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,3890000,Kindle,https://salt.tikicdn.com/cache/280x280/ts/product/05/49/8f/e093321a9f3ed55fe77e8c83bfca8c55.jpg
Apple iPhone 14,13490000,Apple,https://salt.tikicdn.com/cache/280x280/ts/product/ba/f6/94/0385f9e510386f0a10c8756ff7a61a4f.png
Điện thoại bàn Panasonic  KX-TS500MX-hàng chính hãng,320000,Panasonic,https://salt.tikicdn.com/cache/280x280/ts/product/25/6f/f3/b709b99a31a6355f82549c5320caa3c1.jpg
Điện Thoại Bàn Panasonic KX-TS500,369000,Panasonic,https://salt.tikicdn.com/cache/280x280/ts/product/e3/71/9a/a23456e6289f71d29205541a8fb7c353.jpg
Pin Sạc Dự Phòng Energizer 10.000mAh QC 3.0 UE10015CQ (Màu Ngẫu nhiên),50000,Energizer,https://salt.tikicdn.com/cache/280x280/ts/product/ca/1d/a8/32dabe3bec14fdce3c3facfe66f8fade.jpg
