ten_san_pham,thuong_hieu,gia,anh,link
OPPO A6 8GB/128GB,OPPO,8.090.000₫,https://cdn.tgdd.vn/Products/Images/42/363217/oppo-a6-8gb-128gb-xanh-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a6-8gb-128gb
Masstel IZI 10 4G Type-C,Unknown,430.000₫,https://cdn.tgdd.vn/Products/Images/42/342939/masstel-izi-10-xanh-600x600.jpg,https://www.thegioididong.com/dtdd/masstel-izi-10-type-c
realme Note 80 4GB/64GB,realme,3.790.000₫,https://cdn.tgdd.vn/Products/Images/42/363437/realme-note-80-4gb-64gb-thumb-den-600x600.jpg,https://www.thegioididong.com/dtdd/realme-note-80-4gb-64gb
Xiaomi Redmi 15 8GB/128GB,Xiaomi,4.990.000₫,https://cdn.tgdd.vn/Products/Images/42/341274/xiaomi-redmi-15-vang-titan-thumbnew-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-15-8gb-128gb
Masstel IZI T6 4G,Unknown,550.000₫,https://cdn.tgdd.vn/Products/Images/42/322877/masstel-izi-t6-green-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/masstel-izi-t6
Xiaomi 15T 5G 12GB/256GB,Xiaomi,11.790.000₫,https://cdn.tgdd.vn/Products/Images/42/344644/xiaomi-15t-12gb-256gb-vang-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-256gb
vivo Y05 4GB/64GB,vivo,4.290.000₫,https://cdn.tgdd.vn/Products/Images/42/365875/vivo-y05-xanh-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y05-4gb-64gb
Masstel Fami 50 4G,Unknown,650.000₫,https://cdn.tgdd.vn/Products/Images/42/323546/masstel-fami-50-green-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/masstel-fami-50
Xiaomi Redmi 15C 6GB/128GB,Xiaomi,4.290.000₫,https://cdn.tgdd.vn/Products/Images/42/346265/xiaomi-redmi-15c-6gb-128gb-xanh-la-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-15c-6gb-128gb
vivo Y31d 6GB/128GB,vivo,7.490.000₫,https://cdn.tgdd.vn/Products/Images/42/360671/vivo-y31d-6gb-128gb-trang-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y31d-6gb-128gb
OPPO A5x 4GB/128GB,OPPO,4.120.000₫,https://cdn.tgdd.vn/Products/Images/42/337847/oppo-a5x-4gb-128gb-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a5x-4gb-128gb
Nokia 220 4G,Nokia,1.000.000₫,https://cdn.tgdd.vn/Products/Images/42/207956/nokia-220-4g-cam-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/nokia-220-4g
Vivo Y11d 4GB/128GB,vivo,5.790.000₫,https://cdn.tgdd.vn/Products/Images/42/365878/vivo-y11d-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y11d-4gb-128gb
Nokia HMD 105 4G,Nokia,690.000₫,https://cdn.tgdd.vn/Products/Images/42/329676/nokia-hmd-105-4g-pink-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/nokia-hmd-105-4g
Xiaomi Redmi A7 Pro 4GB/64GB,Xiaomi,3.690.000₫,https://cdn.tgdd.vn/Products/Images/42/364793/xiaomi-redmi-a7-pro-xanh-duong-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-a7-pro
Mobell M239 4G,Unknown,430.000₫,https://cdn.tgdd.vn/Products/Images/42/284122/mobell-m239-thumb-den-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-m239
Samsung Galaxy S25 Ultra 5G 12GB/256GB,Samsung,25.990.000₫,https://cdn.tgdd.vn/Products/Images/42/333347/samsung-galaxy-s25-ultra-blue-thumbai-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-ultra
Xiaomi 15T 5G 12GB/512GB,Xiaomi,12.490.000₫,https://cdn.tgdd.vn/Products/Images/42/344645/xiaomi-15t-12gb-512gb-xam-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-512gb-xam
Mobell M179,Unknown,410.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/42/354325/mobell-m179-red-thumb-638941821177855485-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-m179
Masstel S9 6GB/256GB,Unknown,2.640.000₫,,https://www.thegioididong.com/dtdd/masstel-s9
Xiaomi Poco C71 4GB/64GB,Xiaomi,3.590.000₫,,https://www.thegioididong.com/dtdd/xiaomi-poco-c71-4gb-64gb
Nokia 110 4G Pro,Nokia,820.000₫,,https://www.thegioididong.com/dtdd/nokia-110-4g-pro
Xiaomi Redmi 15 5G 4GB/128GB,Xiaomi,5.190.000₫,https://cdn.tgdd.vn/Products/Images/42/359776/xiaomi-redmi-15-5g-4gb-128gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-15-5g-4gb-128gb
vivo Y21d 6GB/128GB,vivo,6.090.000₫,https://cdn.tgdd.vn/Products/Images/42/358669/vivo-y21d-purple-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y21d-6gb-128gb
HONOR X5c Plus 4GB/64GB,HONOR,3.590.000₫,https://cdn.tgdd.vn/Products/Images/42/358691/honor-x5c-plus-4gb-64gb-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-x5c-plus-4gb-64gb
realme Note 70 4GB/64GB,realme,2.890.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/42/340260/realme-note-70-4gb-64gb-160725-095001-095-600x600.jpg,https://www.thegioididong.com/dtdd/realme-note-70-4gb-64gb
Nubia A36 4GB/64GB,Unknown,2.790.000₫,,https://www.thegioididong.com/dtdd/nubia-a36-4gb-64gb?utm_flashsale=1
vivo Y04 4GB/64GB,vivo,2.840.000₫,https://cdn.tgdd.vn/Products/Images/42/335227/vivo-y04-gold-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y04-64gb
Vivo V70 5G 8GB/256GB,vivo,17.490.000₫,https://cdn.tgdd.vn/Products/Images/42/363464/vivo-v70-8gb-256gb-vang-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-v70-8gb-256gb
Xiaomi POCO X7 Pro 5G 12GB/256GB,Xiaomi,9.190.000₫,https://cdn.tgdd.vn/Products/Images/42/363473/xiaomi-poco-x7-pro-12-256gb-den-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-poco-x7-pro-12-256gb?utm_flashsale=1
Tecno Spark 30C 6GB/128GB,TECNO,2.940.000₫,https://cdn.tgdd.vn/Products/Images/42/334970/tecno-spark-30c-white-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/tecno-spark-30c
Xiaomi POCO M8 5G 8GB/256GB,Xiaomi,6.390.000₫,https://cdn.tgdd.vn/Products/Images/42/363468/xiaomi-poco-m8-8gb-256gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-poco-m8-8gb-256gb?utm_flashsale=1
Samsung Galaxy S26+ 5G 12GB/256GB,Samsung,24.490.000₫,https://cdn.tgdd.vn/Products/Images/42/361949/samsung-galaxy-s26-plus-12gb-256gb-xanh-duong-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-s26-plus-12gb-256gb
Xiaomi 15T Pro 5G 12GB/256GB,Xiaomi,16.490.000₫,https://cdn.tgdd.vn/Products/Images/42/344646/xiaomi-15t-pro-12gb-256gb-vang-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-15t-pro-12gb-256gb
OPPO A5 8GB/128GB,OPPO,5.590.000₫,https://cdn.tgdd.vn/Products/Images/42/341378/oppo-a5-8gb-128gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a5-8gb-128gb?utm_flashsale=1
Mobell M331 4G,Unknown,540.000₫,https://cdn.tgdd.vn/Products/Images/42/314697/mobell-m331-thumb-xanh-1-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-m331
Mobell M539 4G,Unknown,690.000₫,https://cdn.tgdd.vn/Products/Images/42/288630/mobell-m539-do-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-m539
HONOR X6c 6GB/128GB,HONOR,4.390.000₫,https://cdn.tgdd.vn/Products/Images/42/340220/honor-x6c-6gb-128gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-x6c-6gb-128gb
Mobell F209 4G,Unknown,610.000₫,https://cdn.tgdd.vn/Products/Images/42/299998/mobell-f209-gold-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-f209
realme 16 Pro 5G 12GB/256GB,realme,13.540.000₫,,https://www.thegioididong.com/dtdd/realme-16-pro-5g-12gb-256gb
Nubia V80 Design 4GB/128GB,Unknown,3.390.000₫,,https://www.thegioididong.com/dtdd/nubia-v80-design-4gb-128gb
Tecno Spark 40 6GB/128GB,TECNO,3.490.000₫,,https://www.thegioididong.com/dtdd/tecno-spark-40-6gb-128gb
OPPO Reno14 F 5G 12GB/256GB,OPPO,10.590.000₫,https://cdn.tgdd.vn/Products/Images/42/339177/oppo-reno14-f-5g-12gb-256gb-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-reno14-f-5g-12gb-256gb
Xiaomi Redmi A5 3GB/64GB,Xiaomi,2.640.000₫,https://cdn.tgdd.vn/Products/Images/42/335917/xiaomi-redmi-a5-blue-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-a5-3gb-64gb
Samsung Galaxy A26 5G 6GB/128GB,Samsung,6.390.000₫,https://cdn.tgdd.vn/Products/Images/42/335915/samsung-galaxy-a26-5g-black-thumbn-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a26-6gb-128gb
Samsung Galaxy Z Flip7 5G 12GB/256GB,Samsung,22.990.000₫,https://cdn.tgdd.vn/Products/Images/42/338736/samsung-galaxy-z-flip7-red-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip7
Samsung Galaxy S24 5G 8GB/256GB,Samsung,13.210.000₫,,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-256gb-5g?utm_flashsale=1
Samsung Galaxy A36 5G 12GB/256GB,Samsung,7.590.000₫,https://cdn.tgdd.vn/Products/Images/42/334930/samsung-galaxy-a36-5g-green-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a36?utm_flashsale=1
Honor X7d 8GB/128GB,HONOR,5.990.000₫,https://cdn.tgdd.vn/Products/Images/42/362971/honor-x7d-8gb-128gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-x7d-8gb-128gb
Samsung Galaxy A16 5G 8GB/256GB,Samsung,5.170.000₫,https://cdn.tgdd.vn/Products/Images/42/331204/samsung-galaxy-a16-5g-gold-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-5g
HONOR X5c 4GB/64GB,HONOR,3.190.000₫,https://cdn.tgdd.vn/Products/Images/42/363410/honor-x5c-4gb-64gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-x5c-4gb-64gb
Xiaomi Redmi Note 14 Pro 5G 8GB/256GB,Xiaomi,7.220.000₫,https://cdn.tgdd.vn/Products/Images/42/332938/xiaomi-redmi-note-14-pro-5g-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-5g
Nubia V80 Max 4GB/128GB,Unknown,3.290.000₫,https://cdn.tgdd.vn/Products/Images/42/366922/nubia-v80-max-4gb-128gb-tim-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/nubia-v80-max-4gb-128gb
vivo Y29 8GB/128GB,vivo,5.380.000₫,https://cdn.tgdd.vn/Products/Images/42/334226/vivo-y29-nau-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y29-8gb-128gb?utm_flashsale=1
Xiaomi Redmi Note 14 Pro 8GB/256GB,Xiaomi,6.250.000₫,https://cdn.tgdd.vn/Products/Images/42/320730/xiaomi-redmi-note-14-pro-xanh-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro
Xiaomi POCO F8 Pro 12GB/512GB,Xiaomi,16.490.000₫,https://cdn.tgdd.vn/Products/Images/42/362273/xiaomi-poco-f8-pro-12-512gb-xanh-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-poco-f8-pro-12-512gb?utm_flashsale=1
Mobell Rock 7,Unknown,890.000₫,https://cdn.tgdd.vn/Products/Images/42/338026/mobell-rock-7-green-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-rock-7
OPPO Reno13 5G 12GB/256GB,OPPO,12.700.000₫,https://cdn.tgdd.vn/Products/Images/42/332934/oppo-reno13-blue-thumbnew-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-reno13-5g
realme 15 5G 12GB/256GB,realme,9.990.000₫,https://cdn.tgdd.vn/Products/Images/42/343066/realme-15-5g-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-15-5g-12gb-256gb
Masstel Fami 60S 4G,Unknown,750.000₫,,https://www.thegioididong.com/dtdd/masstel-fami-60s
Masstel IZI 10 4G,Unknown,430.000₫,,https://www.thegioididong.com/dtdd/masstel-izi-10
HONOR X5b Plus 4GB/128GB,HONOR,2.390.000₫,,https://www.thegioididong.com/dtdd/honor-x5b-plus
Xiaomi POCO X8 Pro 5G 8GB/512GB,Xiaomi,9.990.000₫,,https://www.thegioididong.com/dtdd/xiaomi-poco-x8-pro-8gb-512gb
Samsung Galaxy Z Flip7 FE 5G 8GB/128GB,Samsung,17.490.000₫,https://cdn.tgdd.vn/Products/Images/42/338741/samsung-galaxy-z-flip7-fe-white-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip7-fe
OPPO Find N3 Flip 5G 12GB/256GB Hồng,OPPO,15.890.000₫,https://cdn.tgdd.vn/Products/Images/42/317981/oppo-find-n3-flip-hong-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-find-n3-flip-hong
realme Note 60x 3GB/64GB,realme,2.450.000₫,,https://www.thegioididong.com/dtdd/realme-note-60x
Samsung Galaxy S25 Plus 5G 12GB/256GB,Samsung,20.690.000₫,https://cdn.tgdd.vn/Products/Images/42/333359/samsung-galaxy-s25-plus-blue-thumbai-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-plus
vivo V50 Lite 8GB/256GB,vivo,8.130.000₫,,https://www.thegioididong.com/dtdd/vivo-v50-lite
OPPO Find X8 Pro 5G 16GB/512GB,OPPO,28.450.000₫,,https://www.thegioididong.com/dtdd/oppo-find-x8-pro
Mobell F309 4G,Unknown,750.000₫,https://cdn.tgdd.vn/Products/Images/42/304608/mobell-f309-trang-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-f309
Nubia Air 5G 8GB/256GB,Unknown,5.290.000₫,https://cdn.tgdd.vn/Products/Images/42/366919/nubia-air-5g-8gb-256gb-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/nubia-air-5g-8gb-256gb
realme 14 5G 12GB/256GB,realme,9.000.000₫,https://cdn.tgdd.vn/Products/Images/42/336623/realme-14-5g-xam-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-14-5g
Nokia 3210 4G,Nokia,1.490.000₫,https://cdn.tgdd.vn/Products/Images/42/326477/nokia-3210-4g-black-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/nokia-3210-4g
OPPO A5 Pro 5G 8GB/256GB,OPPO,8.140.000₫,https://cdn.tgdd.vn/Products/Images/42/334404/oppo-a5-pro-pink-thumbai-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a5-pro-5g
OPPO A5i Pro 8GB/128GB,OPPO,6.090.000₫,https://cdn.tgdd.vn/Products/Images/42/340255/oppo-a5i-pro-white-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a5i-pro-8gb-128gb?utm_flashsale=1
OPPO Find N6 5G 16GB/512GB,OPPO,63.990.000₫,https://cdn.tgdd.vn/Products/Images/42/363258/oppo-find-n6-cam-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-find-n6
vivo V40 Lite 8GB/256GB,vivo,8.140.000₫,https://cdn.tgdd.vn/Products/Images/42/329959/vivo-v40-lite-tim-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-v40-lite-8gb-256gb
HONOR Play 10 4GB/128GB,HONOR,3.390.000₫,https://cdn.tgdd.vn/Products/Images/42/358702/honor-play-10-4gb-128gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-play-10-4gb-128gb
vivo V40 5G 12GB/256GB,vivo,10.760.000₫,,https://www.thegioididong.com/dtdd/vivo-v40-5g
realme C75x 8GB/128GB,realme,4.400.000₫,https://cdn.tgdd.vn/Products/Images/42/335307/realme-c75x-pink-thumbn-600x600.jpg,https://www.thegioididong.com/dtdd/realme-c75x
Samsung Galaxy S25 Edge 5G 12GB/512GB,Samsung,24.590.000₫,https://cdn.tgdd.vn/Products/Images/42/335955/samsung-galaxy-s25-edge-sliver-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-edge-5g-512gb
OPPO A3 6GB/128GB,OPPO,4.900.000₫,,https://www.thegioididong.com/dtdd/oppo-a3-6gb-128gb
OPPO Reno13 F 5G 12GB/512GB,OPPO,11.280.000₫,,https://www.thegioididong.com/dtdd/oppo-reno13-f-5g-12gb-512gb
vivo V30e 5G 12GB/256GB,vivo,9.800.000₫,https://cdn.tgdd.vn/Products/Images/42/325136/vivo-v30e-nau-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-v30e-12gb
realme C75 8GB/256GB,realme,5.480.000₫,https://cdn.tgdd.vn/Products/Images/42/332235/realme-c75-8gb-256gb-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-c75-8gb-256gb
vivo Y22s 8GB,vivo,5.800.000₫,https://cdn.tgdd.vn/Products/Images/42/285224/vivo-y22s-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y22s-8gb
OPPO A78 8GB/256GB,OPPO,6.870.000₫,https://cdn.tgdd.vn/Products/Images/42/309847/oppo-a78-xanh-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a78
realme C53 6GB/128GB,realme,4.220.000₫,https://cdn.tgdd.vn/Products/Images/42/306785/realme-c53-black-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-c53
OPPO Reno12 Pro 5G 12GB/512GB,OPPO,18.650.000₫,https://cdn.tgdd.vn/Products/Images/42/322124/oppo-reno12-pro-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-reno12-pro
vivo Y28 8GB/256GB,vivo,6.180.000₫,https://cdn.tgdd.vn/Products/Images/42/326023/vivo-y28-xanh-thumbn-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y28-256gb
Samsung Galaxy A16 8GB/128GB,Samsung,5.300.000₫,https://cdn.tgdd.vn/Products/Images/42/331207/samsung-galaxy-a16-green-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-8gb-128gb
Xiaomi Redmi Note 14 Pro+ 5G 12GB/512GB,Xiaomi,9.860.000₫,https://cdn.tgdd.vn/Products/Images/42/337713/xiaomi-redmi-note-14-pro-plus-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-plus-5g-12gb-512gb
Samsung Galaxy A07 5G 4GB/128GB,Samsung,3.990.000₫,https://cdn.tgdd.vn/Products/Images/42/361709/samsung-galaxy-a07-5g-4gb-128gb-tim-xanh-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a07-5g-4gb-128gb
